escore_obtido|tempoEmSegundos|tutorial
2|17|F
2|21|T
2|16|F
2|72|T
2|13|T
2|19|F
2|45|T
2|1698|T
2|11|F
2|14|F
2|68|T
2|2916|F
2|3813|T
1|99|F
2|29|F
0|163|T
2|38|F
2|39|F
2|3666|F
2|38|T
2|24|F
2|26|T
2|1520|F
1|137|F
2|18|T
2|29|F
2|159|F
2|9|T
2|12093|T
2|60|T
2|15|F
2|75|T
2|13|F
2|16|F
2|44|T
2|87|T
2|23|F
1|105|F
2|32|F
2|77|T
0|189|F
2|31|T
2|31|T
2|26|F
2|1271|T
2|24|F
0|86|F
2|54|T
||
||
||1
||
||
||1
||
||
||1
||
||
||2
||
||
||2
||
||
||2
||
||
||2
||
||
||1
||
||
||1
||
||
||2
||
||
||1
||
||
||2
||
||
||2
||
||
||2
||
||
||2
||
||
||2
2|34|F
2|120|T
2|137|F
2|30|F
2|47|T
2|58|T
0|11038|F
0|123|F
2|49|T
2|34|T
2|19|F
2|17|F
2|31|T
2|30|F
2|15|F
2|28|T
2|52|F
2|56|T
1|102|F
1|52|F
1|119|F
2|27|F
2|34|T
1|69|F
1|64|F
2|55|F
2|38|T
1|24|F
2|21|T
2|22|F
0|287|F
2|17|F
1|7979|F
2|24|F
2|54|T
1|455|F
2|559|T
2|54|F
2|41|T
1|33|F
2|43|T
1|576|F
2|89|F
2|203|F
